Trial,Parameter,Value,Average Train Loss,Average Validation Loss
102,learning_rate,0.1,5.933489370346069,5.506852226257324
102,momentum,0.1,5.933489370346069,5.506852226257324
102,weight_decay,0.0005,5.933489370346069,5.506852226257324
102,number epochs,50,5.933489370346069,5.506852226257324
103,learning_rate,0.001,5.2944561386108395,4.958171424865722
103,momentum,0.3,5.2944561386108395,4.958171424865722
103,weight_decay,0.1,5.2944561386108395,4.958171424865722
103,number epochs,100,5.2944561386108395,4.958171424865722
104,learning_rate,1e-05,5.388026736577352,5.055844678878784
104,momentum,0.3,5.388026736577352,5.055844678878784
104,weight_decay,0.01,5.388026736577352,5.055844678878784
104,number epochs,150,5.388026736577352,5.055844678878784
105,learning_rate,0.001,5.609511342048645,5.41849488735199
105,momentum,1,5.609511342048645,5.41849488735199
105,weight_decay,0.0005,5.609511342048645,5.41849488735199
105,number epochs,100,5.609511342048645,5.41849488735199
106,learning_rate,0.001,6.145558576583863,5.738834848403931
106,momentum,0.3,6.145558576583863,5.738834848403931
106,weight_decay,0.0005,6.145558576583863,5.738834848403931
106,number epochs,100,6.145558576583863,5.738834848403931
107,learning_rate,1e-05,5.910994017918904,5.589480326970418
107,momentum,0.95,5.910994017918904,5.589480326970418
107,weight_decay,0.005,5.910994017918904,5.589480326970418
107,number epochs,150,5.910994017918904,5.589480326970418
108,learning_rate,1e-05,5.536406946182251,5.1387058353424075
108,momentum,0.05,5.536406946182251,5.1387058353424075
108,weight_decay,0.01,5.536406946182251,5.1387058353424075
108,number epochs,100,5.536406946182251,5.1387058353424075
109,learning_rate,0.001,5.852796615600586,5.523103158950805
109,momentum,1,5.852796615600586,5.523103158950805
109,weight_decay,0.0005,5.852796615600586,5.523103158950805
109,number epochs,250,5.852796615600586,5.523103158950805
110,learning_rate,0.01,6.2093693327903745,5.769309248924255
110,momentum,1,6.2093693327903745,5.769309248924255
110,weight_decay,0.005,6.2093693327903745,5.769309248924255
110,number epochs,200,6.2093693327903745,5.769309248924255
111,learning_rate,0.0001,5.702517160415649,5.388478290557861
111,momentum,0.3,5.702517160415649,5.388478290557861
111,weight_decay,0.01,5.702517160415649,5.388478290557861
111,number epochs,250,5.702517160415649,5.388478290557861
112,learning_rate,0.1,5.65869836807251,5.40628490447998
112,momentum,1,5.65869836807251,5.40628490447998
112,weight_decay,0.005,5.65869836807251,5.40628490447998
112,number epochs,50,5.65869836807251,5.40628490447998
113,learning_rate,1e-05,5.6198278379440305,5.251579608917236
113,momentum,1,5.6198278379440305,5.251579608917236
113,weight_decay,0.01,5.6198278379440305,5.251579608917236
113,number epochs,100,5.6198278379440305,5.251579608917236
114,learning_rate,1e-05,5.338447399139405,5.093098861694336
114,momentum,0.3,5.338447399139405,5.093098861694336
114,weight_decay,0.01,5.338447399139405,5.093098861694336
114,number epochs,250,5.338447399139405,5.093098861694336
115,learning_rate,0.01,5.876219863891602,5.507180504798889
115,momentum,0.3,5.876219863891602,5.507180504798889
115,weight_decay,0.005,5.876219863891602,5.507180504798889
115,number epochs,200,5.876219863891602,5.507180504798889
116,learning_rate,0.01,6.307078542709351,5.800342302322388
116,momentum,0.3,6.307078542709351,5.800342302322388
116,weight_decay,0.01,6.307078542709351,5.800342302322388
116,number epochs,50,6.307078542709351,5.800342302322388
117,learning_rate,0.0001,6.092254044214885,5.753916037877401
117,momentum,0.7,6.092254044214885,5.753916037877401
117,weight_decay,0.0005,6.092254044214885,5.753916037877401
117,number epochs,150,6.092254044214885,5.753916037877401
118,learning_rate,1e-05,5.502751846313476,5.142622556686401
118,momentum,0.1,5.502751846313476,5.142622556686401
118,weight_decay,0.01,5.502751846313476,5.142622556686401
118,number epochs,150,5.502751846313476,5.142622556686401
119,learning_rate,0.001,5.296149482727051,5.055583543777466
119,momentum,0.1,5.296149482727051,5.055583543777466
119,weight_decay,0.01,5.296149482727051,5.055583543777466
119,number epochs,50,5.296149482727051,5.055583543777466
120,learning_rate,1e-05,5.4187646560668945,5.091984468460083
120,momentum,0.3,5.4187646560668945,5.091984468460083
120,weight_decay,0.1,5.4187646560668945,5.091984468460083
120,number epochs,250,5.4187646560668945,5.091984468460083
121,learning_rate,0.01,6.260364086151123,5.895634159088135
121,momentum,0.1,6.260364086151123,5.895634159088135
121,weight_decay,0.01,6.260364086151123,5.895634159088135
121,number epochs,250,6.260364086151123,5.895634159088135
122,learning_rate,0.1,5.38985963344574,5.0566275024414065
122,momentum,0.3,5.38985963344574,5.0566275024414065
122,weight_decay,0.1,5.38985963344574,5.0566275024414065
122,number epochs,100,5.38985963344574,5.0566275024414065
123,learning_rate,0.0001,5.854915422439575,5.590829477310181
123,momentum,0.05,5.854915422439575,5.590829477310181
123,weight_decay,0.01,5.854915422439575,5.590829477310181
123,number epochs,250,5.854915422439575,5.590829477310181
124,learning_rate,0.001,5.351065292358398,5.074851551055908
124,momentum,0.3,5.351065292358398,5.074851551055908
124,weight_decay,0.1,5.351065292358398,5.074851551055908
124,number epochs,50,5.351065292358398,5.074851551055908
125,learning_rate,0.001,5.297252855300903,4.946481652259827
125,momentum,1,5.297252855300903,4.946481652259827
125,weight_decay,0.005,5.297252855300903,4.946481652259827
